BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,EyeBlinkLeft,EyeBlinkRight,EyeLookDownLeft,EyeLookDownRight,EyeLookInLeft,EyeLookInRight,EyeLookOutLeft,EyeLookOutRight,EyeLookUpLeft,EyeLookUpRight,EyeSquintLeft,EyeSquintRight,EyeWideLeft,EyeWideRight,JawForward,JawLeft,JawOpen,JawRight,MouthClose,MouthDimpleLeft,MouthDimpleRight,MouthFrownLeft,MouthFrownRight,MouthFunnel,MouthLeft,MouthLowerDownLeft,MouthLowerDownRight,MouthPressLeft,MouthPressRight,MouthPucker,MouthRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthSmileLeft,MouthSmileRight,MouthStretchLeft,MouthStretchRight,MouthUpperUpLeft,MouthUpperUpRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
0.001873,0.000320,0.482138,0.058662,0.634021,0.000007,0.000003,0.000002,0.148812,0.021574,0.142244,0.037246,0.159947,0.253065,0.082584,0.032704,0.110513,0.284265,0.413967,0.300158,0.003801,0.049823,0.000069,0.000054,0.001036,0.001764,0.000071,0.023251,0.000693,0.072205,0.148491,0.000725,0.002115,0.000303,0.000549,0.144678,0.010022,0.033317,0.000195,0.024448,0.002727,0.095965,0.021583,0.000586,0.000206,0.011240,0.065010,0.000074,0.000032,0.000011,0.000001,0.000000,-0.495924,-0.159286,-0.222957,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000525,0.000252,0.612647,0.200301,0.632616,0.000012,0.000002,0.000001,0.164631,0.035464,0.189621,0.146986,0.042557,0.255568,0.255560,0.035518,0.059599,0.086277,0.360285,0.254073,0.003551,0.031902,0.000149,0.000028,0.000596,0.001998,0.000026,0.010067,0.001030,0.052358,0.069082,0.000403,0.001369,0.000832,0.001558,0.114534,0.006925,0.011198,0.000259,0.009347,0.001601,0.014770,0.018993,0.002158,0.000631,0.020924,0.020583,0.000077,0.000039,0.000017,0.000001,0.000000,-0.492396,-0.150067,-0.195050,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.052136,0.000169,0.183425,0.043928,0.702602,0.000003,0.000000,0.000000,0.510142,0.219548,0.633990,0.627940,0.436053,0.005635,0.012942,0.463875,0.008361,0.006567,0.418920,0.150297,0.001285,0.003183,0.000015,0.000033,0.000127,0.000757,0.000014,0.012598,0.007780,0.000032,0.000027,0.009719,0.000257,0.000069,0.000073,0.004653,0.001273,0.757027,0.098194,0.000301,0.000142,0.139313,0.381268,0.000828,0.000697,0.000290,0.000560,0.026049,0.017530,0.000012,0.000000,0.000000,-0.189471,-0.080091,-0.074424,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000173,0.000456,0.703229,0.518767,0.600435,0.000004,0.000001,0.000001,0.569969,0.674458,0.820282,0.801404,0.021617,0.247938,0.244350,0.040388,0.004087,0.002283,0.345801,0.344852,0.000829,0.000540,0.000060,0.000010,0.000139,0.006806,0.000007,0.029731,0.004435,0.000045,0.000100,0.020205,0.000133,0.000190,0.000668,0.015378,0.004526,0.799905,0.133885,0.001292,0.000409,0.084583,0.148113,0.000515,0.000574,0.000070,0.024569,0.005541,0.002936,0.000058,0.000000,0.000000,-0.425788,-0.029340,-0.109383,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000237,0.000260,0.729064,0.605616,0.650686,0.000002,0.000002,0.000001,0.105338,0.058112,0.483916,0.452683,0.315182,0.051188,0.015235,0.276953,0.013658,0.013788,0.176058,0.263314,0.009056,0.024187,0.000062,0.000009,0.000111,0.006297,0.000005,0.018383,0.002227,0.000539,0.001405,0.037202,0.000118,0.000262,0.000894,0.009125,0.003102,0.901157,0.038750,0.002680,0.000428,0.135628,0.104468,0.000068,0.000078,0.000073,0.037918,0.003146,0.001553,0.000039,0.000001,0.000000,-0.532757,-0.058764,-0.165314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000386,0.001121,0.535368,0.587057,0.165251,0.000002,0.000000,0.000000,0.418198,0.374102,0.727927,0.732066,0.020811,0.183683,0.194705,0.037591,0.006269,0.005263,0.191349,0.214432,0.002328,0.001958,0.000026,0.000093,0.000049,0.000054,0.000014,0.001176,0.014369,0.000086,0.000044,0.048743,0.006111,0.000112,0.000048,0.000263,0.001366,0.965484,0.004607,0.000128,0.000071,0.126105,0.265217,0.000632,0.000677,0.001074,0.000171,0.070542,0.180785,0.000009,0.000000,0.000000,0.025956,0.028227,0.090768,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000286,0.000888,0.668419,0.519883,0.473920,0.000009,0.000002,0.000001,0.141310,0.187541,0.583019,0.556452,0.356680,0.037057,0.018666,0.412046,0.012513,0.005884,0.411286,0.137312,0.010632,0.005490,0.000098,0.000003,0.000202,0.038099,0.000005,0.097263,0.005955,0.000256,0.000838,0.009756,0.000037,0.000377,0.001691,0.064344,0.013201,0.446493,0.138199,0.005518,0.001446,0.107068,0.067454,0.000571,0.000528,0.000082,0.045981,0.001635,0.000519,0.000092,0.000001,0.000000,-0.662648,-0.104873,-0.178349,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000466,0.000795,0.581034,0.342258,0.583484,0.000004,0.000001,0.000001,0.290082,0.214586,0.513482,0.489507,0.256089,0.032647,0.038421,0.292774,0.015361,0.014215,0.353199,0.335469,0.002569,0.004820,0.000068,0.000012,0.000448,0.016836,0.000023,0.010022,0.003237,0.000098,0.000239,0.013901,0.000077,0.000533,0.001646,0.012218,0.003474,0.772537,0.066195,0.003812,0.001933,0.024731,0.024557,0.000033,0.000028,0.000032,0.013007,0.000249,0.000105,0.000027,0.000000,0.000000,-0.577028,-0.178828,-0.262191,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000913,0.000993,0.475901,0.427305,0.206913,0.000002,0.000000,0.000000,0.093531,0.051970,0.064423,0.052759,0.044324,0.108015,0.125127,0.071889,0.163384,0.171208,0.114193,0.116003,0.010148,0.012145,0.000029,0.014699,0.001347,0.000009,0.000255,0.000757,0.027032,0.000016,0.000007,0.049986,0.143118,0.000199,0.000056,0.000177,0.005429,0.965184,0.000182,0.003002,0.001697,0.059460,0.078259,0.000012,0.000021,0.000057,0.000027,0.000236,0.001003,0.000001,0.000000,0.000000,0.215951,-0.202538,0.131664,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.001218,0.001069,0.374079,0.440663,0.301378,0.000006,0.000001,0.000000,0.218140,0.220446,0.292888,0.290393,0.003631,0.434759,0.393023,0.008816,0.031101,0.024553,0.263120,0.239902,0.003093,0.002608,0.000045,0.000053,0.001452,0.000344,0.000224,0.000365,0.002003,0.009703,0.010868,0.001534,0.000294,0.000401,0.000237,0.005871,0.018078,0.222492,0.007681,0.009291,0.000656,0.058907,0.076415,0.000121,0.000223,0.001418,0.013331,0.000409,0.000815,0.000009,0.000001,0.000000,-0.152131,-0.050045,0.001923,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
