ts,HeadYaw,HeadPitch,HeadRoll,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,EyeBlinkLeft,EyeBlinkRight,EyeLookDownLeft,EyeLookDownRight,EyeLookInLeft,EyeLookInRight,EyeLookOutLeft,EyeLookOutRight,EyeLookUpLeft,EyeLookUpRight,EyeSquintLeft,EyeSquintRight,EyeWideLeft,EyeWideRight,JawForward,JawLeft,JawOpen,JawRight,MouthClose,MouthDimpleLeft,MouthDimpleRight,MouthFrownLeft,MouthFrownRight,MouthFunnel,MouthLeft,MouthLowerDownLeft,MouthLowerDownRight,MouthPressLeft,MouthPressRight,MouthPucker,MouthRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthSmileLeft,MouthSmileRight,MouthStretchLeft,MouthStretchRight,MouthUpperUpLeft,MouthUpperUpRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
440,-0.29568820079686087,0.0461531927013052,-0.03292903541866301,1.8443911358190235e-06,1.274695296160644e-05,0.9301000833511353,0.9782699942588806,0.9317688345909119,4.8536152462475e-05,6.544054826918e-07,1.7116315120802028e-06,0.022031493484973907,0.04611023887991905,0.15851154923439026,0.2571486830711365,0.005769293289631605,0.4069449305534363,0.4478760361671448,0.016620533540844917,0.07994165271520615,0.02785390429198742,0.24582812190055847,0.08623629808425903,0.038818638771772385,0.026333073154091835,8.483053534291685e-05,0.0002882445405703038,0.43234020471572876,0.03545231744647026,0.06784205883741379,0.04472615197300911,0.0005940767005085945,1.9372273527551442e-05,2.8657581424340606e-05,0.026763834059238434,0.015552553348243237,0.00043306429870426655,0.0028212484903633595,0.008281821385025978,0.0001569952437421307,0.7846757173538208,0.0008305992232635617,0.007435787934809923,0.00867525115609169,0.008551904000341892,0.0023248030338436365,1.9497378161759116e-05,2.53960138252296e-06,7.814798300387338e-05,0.00026581407291814685,0.000505182717461139,8.071502816164866e-05,2.3542033886769786e-06,1.7732166668338323e-07,0.0,-0.29568820079686087,0.0461531927013052,-0.03292903541866301,0.0,0.0,0.0,0.0,0.0,0.0
480,-0.31279479576340785,0.055543453254679936,-0.04438771809623185,1.340502535640553e-06,7.808243935869541e-06,0.9591786861419678,0.9815698266029358,0.9339544177055359,0.00011381309013813734,1.2049455335727544e-06,3.2848524824657943e-06,0.03056471049785614,0.042901646345853806,0.12219581753015518,0.28373634815216064,0.004608543589711189,0.45231178402900696,0.5414392352104187,0.01872367225587368,0.11004731804132462,0.030239854007959366,0.2873366177082062,0.06755992025136948,0.03166892006993294,0.03378548100590706,0.00011728717072401196,0.0006291536265052855,0.789906919002533,0.05171699821949005,0.2734278440475464,0.21289271116256714,0.0015032573137432337,1.0326919436920434e-05,1.9212724509998225e-05,0.0216965489089489,0.004411187022924423,0.0006918773287907243,0.007950426079332829,0.029320484027266502,0.00019174844783265144,0.7027376890182495,0.006153905298560858,0.015192766673862934,0.012613908387720585,0.01332591101527214,0.0022566067054867744,2.6881431040237658e-05,2.3630004761798773e-06,2.638568366819527e-05,0.0001574083580635488,0.00031518470495939255,2.3170701751951128e-05,2.9560119401139673e-06,2.879449425563507e-07,0.0,-0.31279479576340785,0.055543453254679936,-0.04438771809623185,0.0,0.0,0.0,0.0,0.0,0.0
520,-0.27473099298391745,0.05989873217371798,-0.027798125779744203,2.199846903749858e-06,9.626479368307628e-06,0.9435838460922241,0.9804443120956421,0.9300525188446045,5.6156361097237095e-05,8.42245015064691e-07,2.1856249077245593e-06,0.025354288518428802,0.03974608704447746,0.16639403998851776,0.26220783591270447,0.007938208989799023,0.38949260115623474,0.4325098693370819,0.017521027475595474,0.0798068419098854,0.02568414993584156,0.23914049565792084,0.07589733600616455,0.035997845232486725,0.03309853374958038,7.722795999143273e-05,0.0006115288124419749,0.6910735368728638,0.04468801990151405,0.15366022288799286,0.1256052404642105,0.0013121601659804583,1.0591419595584739e-05,2.1669398847734556e-05,0.0326257199048996,0.01200109627097845,0.0005317084724083543,0.003917789086699486,0.006904272828251123,0.00015557656297460198,0.8931875824928284,0.002199446316808462,0.014606224372982979,0.01449674554169178,0.012034783139824867,0.0017712722765281796,6.9991838245186955e-06,9.64101900535752e-07,1.5837655155337416e-05,0.00018129326053895056,0.0002616482088342309,2.9301394533831626e-05,2.828561036949395e-06,1.808943608239133e-07,0.0,-0.27473099298391745,0.05989873217371798,-0.027798125779744203,0.0,0.0,0.0,0.0,0.0,0.0
560,-0.24348056757862135,0.09205645744489269,0.011224172990427064,4.403073035064153e-06,1.2400634659570642e-05,0.9067684412002563,0.978600800037384,0.9329315423965454,2.2591677407035604e-05,8.353208613698371e-07,9.668724487710278e-07,0.03762665018439293,0.03729524463415146,0.351325660943985,0.3339165151119232,0.013893471099436283,0.31779566407203674,0.3258598744869232,0.018767347559332848,0.028646260499954224,0.016987428069114685,0.14738544821739197,0.13126470148563385,0.023079905658960342,0.04204024747014046,4.3879794247914106e-05,0.0002221473987447098,0.5959353446960449,0.06555518507957458,0.16619625687599182,0.026388918980956078,0.0005597068811766803,1.606447585800197e-05,3.0464379960903898e-05,0.03526250645518303,0.005683023948222399,0.00040651147719472647,0.0015787752345204353,0.0021388523746281862,0.00011186164192622527,0.9392374157905579,0.0036859281826764345,0.009602800942957401,0.01259669754654169,0.008922756649553776,0.0012551210820674896,2.6159646040468942e-06,5.274020509205002e-07,2.556634171924088e-05,0.0001692919322522357,0.00020855231559835374,3.221453880541958e-05,1.6827873423608253e-06,1.2156469608726184e-07,0.0,-0.24348056757862135,0.09205645744489269,0.011224172990427064,0.0,0.0,0.0,0.0,0.0,0.0
600,-0.2032858360550729,0.0934464207900688,0.055570625484170424,6.214376753632678e-06,2.1962705432088114e-05,0.8820670247077942,0.9650878310203552,0.8862149119377136,5.489225804922171e-05,4.7456339302698325e-07,4.963639526067709e-07,0.11841846257448196,0.13688747584819794,0.18095682561397552,0.20345370471477509,0.016951831057667732,0.28434282541275024,0.29232290387153625,0.019250178709626198,0.06003587692975998,0.03434246405959129,0.32887786626815796,0.17530447244644165,0.011134224012494087,0.007234000135213137,0.00013027904788032174,0.0004073763557244092,0.5988020300865173,0.014353190548717976,0.43133336305618286,0.01848253607749939,0.0003883834870066494,1.698516462056432e-05,2.878974555642344e-05,0.027335017919540405,0.013896234333515167,0.0020017484202980995,0.007370216306298971,0.0027130316011607647,0.00021257434855215251,0.8860446214675903,0.0006451938534155488,0.006535604130476713,0.005890212021768093,0.002386790234595537,0.0003287559957243502,6.327860774035798e-06,1.3219608945291839e-06,4.756584166898392e-05,0.00017183725140057504,0.0002719092299230397,2.3182195945992135e-05,1.6061604810602148e-06,9.866526795576647e-08,0.0,-0.2032858360550729,0.0934464207900688,0.055570625484170424,0.0,0.0,0.0,0.0,0.0,0.0
640,-0.19195332679131583,0.08528169568523286,0.055113185289267584,7.823300620657392e-06,3.40421793225687e-05,0.8231764435768127,0.9621928334236145,0.8671404719352722,4.587126386468299e-05,5.993261993353372e-07,8.775661513027444e-07,0.12693150341510773,0.08190526068210602,0.25159433484077454,0.26258236169815063,0.01291640941053629,0.25511300563812256,0.27875208854675293,0.02885816991329193,0.03801877796649933,0.02586163766682148,0.265832781791687,0.15921200811862946,0.00946811307221651,0.01227494701743126,9.037661948241293e-05,0.0007673673680983484,0.6038351058959961,0.007904427126049995,0.42720159888267517,0.019839582964777946,0.00016037079330999404,1.5736302884761244e-05,2.8863310944871046e-05,0.030593425035476685,0.00911702960729599,0.0007632389315403998,0.004594600293785334,0.004680456127971411,0.00014178101264405996,0.9030916690826416,0.0014642963651567698,0.005226287990808487,0.00590013200417161,0.004374478943645954,0.00109584117308259,8.25456572783878e-06,1.28715123537404e-06,6.107492663431913e-05,0.00021596236911136657,0.00036337130586616695,4.370472379378043e-05,1.7192879795402405e-06,1.6379284772938263e-07,0.0,-0.19195332679131583,0.08528169568523286,0.055113185289267584,0.0,0.0,0.0,0.0,0.0,0.0
680,-0.18289135507005305,0.06038630968841246,0.0734547644027744,1.442123539163731e-05,3.567818566807546e-05,0.7524447441101074,0.9423912763595581,0.8729245066642761,3.994470898760483e-05,9.985312772187172e-07,1.2738660188915674e-06,0.15850916504859924,0.09972887486219406,0.25075873732566833,0.2387653887271881,0.010371332988142967,0.33661991357803345,0.3440440595149994,0.018236691132187843,0.03756911680102348,0.03554612770676613,0.25057801604270935,0.2639463245868683,0.006624775007367134,0.01128977257758379,7.644936704309657e-05,0.0008386607514694333,0.5870305299758911,0.004427471663802862,0.39226043224334717,0.018095647916197777,4.617510785465129e-05,0.00017207712517119944,0.0003597169416025281,0.014103769324719906,0.008107250556349754,0.0006235874607227743,0.003539716824889183,0.008071751333773136,0.00012315454659983516,0.8010523915290833,0.0006777711678296328,0.006042674649506807,0.003996675834059715,0.009881558828055859,0.002287040464580059,1.2650325516005978e-05,1.4821248441876378e-06,0.0002433376939734444,0.0007605869323015213,0.0007328221690841019,7.12000546627678e-05,2.027243681368418e-06,3.318675680930028e-07,0.0,-0.18289135507005305,0.06038630968841246,0.0734547644027744,0.0,0.0,0.0,0.0,0.0,0.0
720,-0.20333464782719757,0.05314387044050653,0.09006301767826436,2.4599177777417935e-05,4.111155794817023e-05,0.6358189582824707,0.9059693217277527,0.8504245281219482,5.945347584201954e-05,6.996942829573527e-07,1.5952654166540015e-06,0.15264342725276947,0.11420073360204697,0.17726118862628937,0.19622963666915894,0.018481694161891937,0.24927566945552826,0.24825917184352875,0.023016255348920822,0.05360126122832298,0.04501654952764511,0.3609512448310852,0.2683889865875244,0.006137577351182699,0.007322168443351984,0.00010051060235127807,0.00042879802640527487,0.4753556549549103,0.0038948170840740204,0.14077983796596527,0.05258437246084213,3.400749483262189e-05,0.000570752308703959,0.0013508572010323405,0.007923797704279423,0.03866002708673477,0.0006971482653170824,0.004106300882995129,0.017239786684513092,0.00018814171198755503,0.42991822957992554,4.954094038112089e-05,0.0042724087834358215,0.002248839708045125,0.012126737274229527,0.0038152188062667847,9.747650619829074e-05,1.217524641106138e-05,0.001091417740099132,0.004316966515034437,0.007713696453720331,0.0006226069526746869,2.7660303203447256e-06,4.2796838783942803e-07,0.0,-0.20333464782719757,0.05314387044050653,0.09006301767826436,0.0,0.0,0.0,0.0,0.0,0.0
760,-0.233533629303059,0.05339198131427613,0.08616578847497566,1.3760284673480783e-05,0.00011212808749405667,0.545723557472229,0.9248383045196533,0.79804927110672,0.000183720127097331,6.794272735533013e-07,2.9443415314744925e-06,0.11465926468372345,0.07098110765218735,0.18361638486385345,0.21232962608337402,0.007504037115722895,0.41905584931373596,0.4112062156200409,0.009078784845769405,0.04613650590181351,0.03445690497756004,0.4049004316329956,0.15273743867874146,0.006856302265077829,0.010296516120433807,0.00028338225092738867,0.00019481053459458053,0.509183943271637,0.011678504757583141,0.029398437589406967,0.277648389339447,6.742884579580277e-05,0.0019025384681299329,0.0032069524750113487,0.008293558843433857,0.04354563727974892,0.0015334965428337455,0.018275568261742592,0.06939398497343063,0.00019951746799051762,0.059217602014541626,1.333200816588942e-05,0.00145126658026129,0.0016687375027686357,0.0038902428932487965,0.005341954063624144,0.003128340933471918,0.00021289748838171363,0.011092640459537506,0.004678251221776009,0.0321526825428009,0.0022736606188118458,4.472385171538917e-06,9.187837122226483e-07,0.0,-0.233533629303059,0.05339198131427613,0.08616578847497566,0.0,0.0,0.0,0.0,0.0,0.0
800,-0.2522781162399519,0.0416898587945982,0.08208011624274344,1.3300627870194148e-05,8.552867075195536e-05,0.614513635635376,0.9287027716636658,0.7820634245872498,0.00023863953538239002,7.082439310579502e-07,2.8624519927689107e-06,0.11143570393323898,0.06380617618560791,0.16063016653060913,0.18961498141288757,0.008018219843506813,0.4172285497188568,0.4064632058143616,0.009911559522151947,0.05176694691181183,0.040200795978307724,0.3956799805164337,0.16185401380062103,0.007134660612791777,0.010881952941417694,0.00036774767795577645,9.569556277710944e-05,0.5343017578125,0.034941405057907104,0.014756575226783752,0.28492286801338196,9.603242506273091e-05,0.0029818324837833643,0.004000070970505476,0.006346777081489563,0.06955013424158096,0.0030324577819556,0.03759459778666496,0.08140605688095093,0.0003027213679160923,0.026657134294509888,5.2516434152494185e-06,0.0012196209281682968,0.0018468289636075497,0.0031626098789274693,0.006708595436066389,0.006934903562068939,0.0005033897468820214,0.022439569234848022,0.004671262111514807,0.04047483205795288,0.0048589021898806095,5.395046173362061e-06,9.979315791497356e-07,0.0,-0.2522781162399519,0.0416898587945982,0.08208011624274344,0.0,0.0,0.0,0.0,0.0,0.0
840,-0.26924267433583204,0.02755666436392901,0.07778364903699006,1.3088792911730707e-05,0.00011997368710581213,0.5890918970108032,0.907844066619873,0.7556641101837158,0.0003129868127871305,8.377197673326009e-07,3.0386220259970287e-06,0.061809346079826355,0.044200509786605835,0.17093421518802643,0.2021380364894867,0.0033018491230905056,0.5919857025146484,0.5820504426956177,0.005495404824614525,0.05052650719881058,0.03692453354597092,0.3988237679004669,0.137036994099617,0.011533917859196663,0.015997696667909622,0.0003947072837036103,0.00026689714286476374,0.5345760583877563,0.02027464471757412,0.011453520506620407,0.3019140958786011,0.0002673048584256321,0.0027588920202106237,0.0031712488271296024,0.005821066442877054,0.11093593388795853,0.0038106602150946856,0.025867795571684837,0.06757492572069168,0.00039268608088605106,0.018710695207118988,3.257183152527432e-06,0.0012327560689300299,0.0014285016804933548,0.0029502238612622023,0.010887080803513527,0.0230498518794775,0.0016802494646981359,0.031220529228448868,0.003016700269654393,0.029784204438328743,0.004682337865233421,5.007123036193661e-06,1.342434188700281e-06,0.0,-0.26924267433583204,0.02755666436392901,0.07778364903699006,0.0,0.0,0.0,0.0,0.0,0.0
